hopeful-surf-142,gallant-river-141,dauntless-voice-140,robust-hill-139,devout-breeze-136,peach-shadow-134,neat-firefly-130,kind-sound-128,glowing-monkey-126,misty-moon-124
74,63,81,0,87,84,0,89,88,86
0,1,88,84,86,79,0,88,86,85
34,0,74,0,84,85,0,84,89,84
0,0,86,84,82,85,0,85,90,86
82,36,86,89,84,87,79,84,84,80
0,27,85,91,82,0,0,0,81,90
78,0,83,73,82,88,85,84,85,89
0,0,84,79,87,84,0,85,88,86
0,0,83,88,84,85,89,81,86,88
0,0,88,87,88,86,0,84,85,83
80,0,87,77,87,81,0,89,80,85
0,0,0,0,87,85,0,88,86,81
0,0,81,78,84,85,84,81,84,84
0,0,87,0,86,87,0,0,82,87
0,0,0,0,88,86,0,0,0,86
15,0,87,0,87,87,0,86,84,84
79,0,87,83,85,80,86,84,80,85
69,0,86,84,85,84,65,82,84,84
0,68,86,83,83,83,0,83,86,84
82,0,87,84,87,83,0,83,82,82
71,54,83,83,85,86,85,88,88,86
0,75,86,85,87,83,87,83,84,83
0,0,0,0,0,0,0,85,85,0
81,0,89,88,81,85,0,82,89,85
0,0,0,0,84,82,0,88,83,85
0,0,0,0,88,0,0,0,87,0
0,0,83,0,85,85,0,85,87,0
0,0,80,0,85,87,83,81,84,85
11,0,86,86,87,88,85,88,84,86
79,0,85,85,83,88,85,82,86,86
82,23,85,86,85,87,86,85,88,84
80,0,85,85,85,82,0,87,87,84
84,13,86,89,86,87,84,82,87,88
77,0,79,0,82,0,84,0,81,83
32,0,80,80,83,82,0,82,80,85
0,0,84,0,86,86,83,84,85,86
77,0,76,85,81,86,0,83,84,85
0,0,79,0,83,88,0,82,0,86
72,61,79,83,84,82,0,80,85,83
0,0,85,81,88,87,0,81,79,0
82,55,0,0,84,82,86,85,87,86
0,0,0,82,86,83,0,78,83,84
76,0,83,82,83,84,82,86,79,85
0,53,0,0,0,0,0,0,0,0
0,0,84,86,87,85,0,87,84,85
0,0,87,0,90,86,47,81,85,87
79,0,78,83,80,83,0,84,83,81
75,15,82,81,84,87,8,87,85,87
0,0,87,77,89,90,86,83,80,87
75,0,83,88,84,89,81,84,83,84
46,0,76,86,80,87,0,83,78,82
0,0,85,88,87,90,89,84,82,85
0,50,84,0,86,83,77,86,84,88
86,0,88,0,83,84,0,87,86,88
0,0,85,75,84,84,0,85,86,80
0,0,84,89,77,89,85,87,84,85
0,0,85,0,88,84,87,81,86,86
79,0,83,0,86,87,20,85,82,84
79,0,85,81,87,89,86,89,78,88
0,0,79,84,85,86,0,86,86,88
0,0,86,0,86,86,0,87,88,89
0,0,84,0,85,82,0,85,85,0
0,29,87,0,87,88,86,87,85,88
81,0,82,85,84,85,85,85,86,83
0,0,84,84,89,79,0,85,88,88
73,0,0,0,87,81,0,86,86,82
