pretty-gorge-49,ethereal-blaze-37,visionary-jazz-36,cool-surf-35,jumping-terrain-34,dutiful-thunder-31,easy-donkey-30,glowing-energy-29,generous-donkey-28,firm-snowflake-23
67.0,65.0,75.0,61.0,58.0,57.0,41.0,78.0,53.0,64.0
61.0,69.0,56.0,67.0,38.0,53.0,54.0,70.0,59.0,64.0
56.0,73.0,53.0,68.0,62.0,53.0,54.0,65.0,62.0,63.0
49.0,54.0,68.0,51.0,63.0,53.0,66.0,65.0,67.0,67.0
67.0,58.0,55.0,62.0,73.0,55.0,63.0,40.0,68.0,55.0
69.0,71.0,64.0,47.0,69.0,62.0,72.0,59.0,53.0,53.0
54.0,50.0,60.0,52.0,65.0,64.0,60.0,54.0,66.0,66.0
77.0,58.0,62.0,55.0,67.0,56.0,66.0,58.0,66.0,55.0
62.0,72.0,80.0,63.0,73.0,71.0,70.0,67.0,66.0,66.0
71.0,85.0,67.0,73.0,63.0,60.0,67.0,61.0,59.0,55.0
69.0,65.0,58.0,69.0,54.0,65.0,72.0,67.0,61.0,65.0
61.0,54.0,65.0,56.0,50.0,56.0,57.0,68.0,75.0,54.0
69.0,80.0,77.0,62.0,69.0,67.0,69.0,58.0,69.0,74.0
75.0,70.0,64.0,77.0,68.0,58.0,68.0,55.0,49.0,63.0
75.0,69.0,70.0,69.0,69.0,64.0,72.0,70.0,73.0,48.0
69.0,64.0,68.0,59.0,68.0,74.0,73.0,78.0,70.0,67.0
71.0,73.0,64.0,74.0,52.0,64.0,67.0,65.0,71.0,56.0
79.0,61.0,71.0,75.0,64.0,69.0,64.0,65.0,66.0,64.0
71.0,83.0,58.0,68.0,65.0,55.0,67.0,74.0,78.0,64.0
62.0,78.0,63.0,54.0,72.0,66.0,73.0,71.0,71.0,59.0
76.0,61.0,72.0,65.0,60.0,57.0,68.0,66.0,58.0,70.0
87.0,72.0,80.0,54.0,65.0,63.0,71.0,61.0,62.0,52.0
69.0,70.0,73.0,72.0,60.0,70.0,66.0,67.0,72.0,75.0
74.0,79.0,66.0,64.0,70.0,63.0,81.0,72.0,73.0,71.0
78.0,76.0,82.0,73.0,75.0,69.0,61.0,68.0,55.0,64.0
67.0,70.0,55.0,68.0,72.0,63.0,66.0,63.0,66.0,65.0
71.0,82.0,74.0,65.0,62.0,66.0,71.0,71.0,66.0,66.0
77.0,84.0,56.0,75.0,72.0,55.0,82.0,65.0,69.0,61.0
67.0,73.0,70.0,73.0,64.0,60.0,72.0,74.0,64.0,61.0
76.0,78.0,57.0,61.0,69.0,55.0,77.0,59.0,75.0,71.0
75.0,60.0,77.0,74.0,66.0,67.0,77.0,74.0,63.0,66.0
74.0,75.0,67.0,70.0,62.0,69.0,74.0,69.0,59.0,61.0
78.0,70.0,64.0,78.0,77.0,66.0,62.0,77.0,73.0,65.0
74.0,72.0,68.0,71.0,74.0,69.0,68.0,75.0,74.0,71.0
81.0,82.0,65.0,71.0,70.0,62.0,79.0,75.0,70.0,66.0
74.0,76.0,69.0,74.0,65.0,60.0,71.0,80.0,64.0,71.0
73.0,69.0,66.0,72.0,76.0,68.0,68.0,69.0,77.0,73.0
76.0,81.0,79.0,67.0,66.0,67.0,72.0,72.0,72.0,62.0
81.0,87.0,56.0,73.0,72.0,65.0,74.0,73.0,74.0,71.0
74.0,76.0,70.0,77.0,71.0,57.0,75.0,70.0,64.0,71.0
73.0,78.0,76.0,74.0,67.0,57.0,75.0,82.0,65.0,74.0
79.0,74.0,86.0,76.0,67.0,68.0,76.0,68.0,73.0,67.0
87.0,84.0,82.0,66.0,76.0,59.0,78.0,78.0,73.0,67.0
80.0,87.0,79.0,74.0,71.0,68.0,81.0,77.0,71.0,68.0
75.0,82.0,70.0,76.0,71.0,64.0,73.0,72.0,75.0,66.0
75.0,79.0,73.0,41.0,62.0,72.0,78.0,80.0,72.0,69.0
79.0,80.0,61.0,72.0,68.0,62.0,75.0,74.0,81.0,72.0
62.0,81.0,75.0,78.0,69.0,61.0,76.0,75.0,79.0,71.0
83.0,87.0,72.0,39.0,79.0,73.0,79.0,74.0,79.0,63.0
80.0,85.0,85.0,71.0,75.0,70.0,84.0,74.0,78.0,77.0
86.0,87.0,72.0,71.0,76.0,71.0,75.0,73.0,78.0,71.0
79.0,81.0,63.0,84.0,71.0,63.0,78.0,71.0,76.0,71.0
78.0,86.0,71.0,61.0,58.0,67.0,78.0,73.0,73.0,76.0
82.0,83.0,79.0,59.0,80.0,67.0,80.0,77.0,79.0,78.0
79.0,77.0,78.0,72.0,76.0,65.0,78.0,75.0,81.0,73.0
79.0,84.0,83.0,69.0,76.0,68.0,81.0,77.0,86.0,66.0
89.0,78.0,78.0,76.0,72.0,75.0,82.0,79.0,79.0,73.0
76.0,84.0,76.0,73.0,77.0,69.0,72.0,79.0,79.0,73.0
85.0,85.0,82.0,76.0,70.0,67.0,78.0,87.0,83.0,72.0
