robust-violet-104,azure-hill-103,zesty-cosmos-102,ancient-fire-101,swift-paper-100,restful-hill-99,zesty-frog-98,noble-monkey-97,giddy-wind-96,rare-haze-95
14.080000000000009,5.4,2.0,0.0,0.0,15.6,2.999999999999999,16.8,25.919999999999998,18.90000000000001
13.440000000000008,6.799999999999998,3.0,0.0,0.0,12.480000000000008,4.479999999999999,11.200000000000006,20.72,22.96000000000001
10.240000000000006,9.900000000000004,0.0,0.0,0.0,12.480000000000008,3.599999999999999,14.4,21.700000000000024,20.520000000000007
13.02000000000001,7.800000000000004,5.0,0.0,0.0,7.280000000000004,1.24,13.440000000000008,23.00000000000003,19.000000000000007
14.260000000000012,5.7600000000000025,1.0,0.0,0.0,16.200000000000014,2.4399999999999995,17.980000000000018,20.160000000000014,17.360000000000017
10.800000000000002,7.599999999999999,0.0,0.0,0.0,3.9600000000000004,2.0,13.200000000000001,20.700000000000024,20.880000000000006
13.200000000000001,6.799999999999998,0.0,0.0,0.0,10.560000000000006,1.6400000000000003,16.2,30.77999999999999,20.279999999999994
11.960000000000008,14.700000000000014,3.0,0.0,0.0,12.319999999999999,3.1999999999999993,11.600000000000003,22.540000000000028,19.040000000000003
12.599999999999998,4.079999999999999,0.0,0.0,0.0,10.000000000000002,4.219999999999998,13.340000000000003,16.560000000000016,21.460000000000022
13.68000000000001,6.480000000000001,0.0,0.0,0.0,12.000000000000007,3.899999999999999,14.56000000000001,17.760000000000012,19.6
15.36000000000001,11.879999999999999,0.0,0.0,0.0,4.800000000000002,2.919999999999999,17.98000000000001,20.000000000000004,16.279999999999994
13.199999999999998,14.759999999999993,0.0,0.0,0.0,23.76,3.0200000000000005,17.980000000000018,13.800000000000011,17.679999999999996
6.44,9.100000000000005,0.0,0.0,0.0,9.660000000000004,2.02,16.740000000000016,31.00000000000004,20.88000000000002
10.400000000000006,8.400000000000004,0.0,0.0,0.0,17.000000000000004,3.44,13.50000000000001,21.460000000000022,21.84000000000002
14.060000000000013,7.680000000000004,0.0,0.0,0.0,17.159999999999997,1.5,21.600000000000005,22.359999999999992,19.32000000000002
19.140000000000015,6.760000000000003,1.0,0.0,0.0,20.279999999999994,1.4400000000000002,16.00000000000001,18.00000000000001,20.160000000000007
14.959999999999996,9.179999999999998,0.0,0.0,0.0,14.000000000000002,1.2,17.920000000000005,19.200000000000014,21.600000000000012
19.000000000000004,8.000000000000002,3.0,0.0,0.0,13.800000000000011,4.44,14.559999999999999,3.2200000000000006,26.88000000000002
13.800000000000011,12.000000000000002,0.0,0.0,0.0,13.800000000000011,4.4,15.6,18.40000000000002,23.39999999999999
18.199999999999996,7.9200000000000035,7.0,0.0,0.0,12.88000000000001,4.059999999999998,18.480000000000004,21.00000000000001,18.90000000000001
14.559999999999999,8.839999999999998,0.0,0.0,0.0,12.319999999999999,2.6799999999999997,7.280000000000004,23.520000000000017,20.240000000000023
14.759999999999993,9.72,0.0,0.0,0.0,12.320000000000007,2.16,22.040000000000024,18.92,17.360000000000007
15.000000000000002,8.839999999999998,6.0,0.0,0.0,22.040000000000013,2.5599999999999996,20.72,20.160000000000014,23.91999999999999
18.480000000000004,10.08,6.0,0.0,0.0,19.000000000000004,2.86,18.000000000000004,22.080000000000016,21.279999999999998
